wdid,icrsra,icrsdec,spectype,teff,logg,mass,age,Dage,Dpc,velU,velV,velW
* alf CMi B,07 39 17.88,05 13 26.76,DQZ,7585.0,7.964,0.5541,1.22,,3.5142,0.6,-12.0,-18.4
1FGL J1338.9+1153,13 38 59.06,11 53 16.73,DC,6300.0,10.0,,,,,,,
2MASS J00022257+6357443,00 02 24.88,63 57 45.88,DC,4879.0,7.939,0.542,6.55,,26.28,,,
2MASS J00025063-0450417,00 02 50.66,-04 50 41.65,DB+dM4,6300.0,10.0,,,,1919.61,,,
2MASS J00173691+1451019,00 17 36.90,14 51 01.88,DC,6300.0,8.98,,,,13185.10,,,
2MASS J00274169-0300586,00 27 41.67,-03 00 58.57,DBA,18570.0,8.293,0.777,2.017,,97.04,,,
2MASS J00274999-0010234,00 27 50.09,-00 10 23.82,DB+M3,6300.0,8.84,,,,236.18,,,
2MASS J00364522+0634531,00 36 45.32,06 34 53.30,DC+M,,,,,,173.04,,,
2MASS J01213782+3440431,01 21 37.61,34 40 43.09,DZ,7326.0,8.293,0.763,1.97,,38.79,,,
2MASS J01414366-0938118,01 41 43.71,-09 38 11.66,DC+M,,,,,,327.79,,,
2MASS J01503855-7207164,01 50 37.67,-72 07 20.27,DC,6838.0,8.132,0.656,,,31.72,,,
2MASS J02145697+7746000,02 14 58.37,77 45 53.82,DC,4798.0,8.175,0.691,8.95,,39.68,,,
2MASS J02451962-0256280,02 45 19.63,-02 56 28.17,DC,9557.0,9.0,,,,10348.97,,,
2MASS J03003728+6228285,03 00 37.34,62 28 28.60,DC5,9364.0,7.329,0.277,,,115.91,,,
2MASS J03030835+0054438,03 03 08.35,00 54 42.84,DC+M,6300.0,8.99,,,,120.51,,,
2MASS J03092486+0025256,03 09 24.87,00 25 23.88,DC-IRfaint,5561.0,8.166,0.675,5.23,,42.56,,,
2MASS J03105758+6634022,03 10 59.44,66 33 55.67,DC,4681.0,7.817,0.472,5.9,,38.40,,,
2MASS J04000453-0628340,04 00 04.58,-06 28 34.34,DC+M,,,,,,342.70,,,
2MASS J04010150+5131304,04 01 02.14,51 31 17.24,DC,5064.0,8.233,0.73,8.36,,25.10,,,
2MASS J04221133-4741421,04 22 11.26,-47 41 41.89,DB,25970.0,7.79,0.512,,,91.62,,,
2MASS J04255699+4614177,04 25 57.13,46 14 18.19,DC,4479.0,8.25,0.74,10.21,,37.55,,,
2MASS J04510683-0337234,04 51 06.83,-03 37 23.60,DBA,,,,,,2417.79,,,
2MASS J05265609+4435395,05 26 56.49,44 35 32.80,DC,4680.0,7.853,0.492,6.08,,38.89,,,
2MASS J06214164-4016187,06 21 41.77,-40 16 24.55,DZ,6151.0,8.184,0.688,2.39,,23.68,-13.9,-25.0,-7.2
2MASS J06392837+3605410,06 39 26.42,36 06 25.07,DBA,,,,,,837.17,,,
2MASS J07062860+3836502,07 06 28.57,38 36 50.33,DB+M,16481.0,8.36,,,,676.11,,,
2MASS J07085228-6706314,07 08 51.67,-67 06 32.93,DCP,4862.0,7.86,0.497,5.47,0.34,16.96,4.7,4.9,-19.9
2MASS J07394262+1714388,07 39 42.58,17 14 38.34,DC+M,,,,,,235.78,,,
2MASS J07442543+3530408,07 44 25.41,35 30 41.09,DC+M,6300.0,8.99,,,,129.49,,,
2MASS J08060999+2141524,08 06 10.00,21 41 52.21,DC+M,19500.0,7.0,,,,188.72,,,
2MASS J08061173+3344271,08 06 11.67,33 44 25.46,DB,15538.0,8.09,0.641,0.2081,,100.19,,,
2MASS J08063688+2519120,08 06 36.86,25 19 11.93,DB+M,17439.0,8.18,,,,878.53,,,
2MASS J08221922+2023264,08 22 19.26,20 23 24.42,DC,7038.0,7.546,0.344,0.94,,43.36,,,
2MASS J08490170+4439355,08 49 01.35,44 39 33.78,DC,5907.0,8.155,0.669,4.05,,46.86,,,
2MASS J08533603+0720334,08 53 36.06,07 20 33.04,DC+M,,,,,,267.43,,,
2MASS J08541811+4704019,08 54 18.00,47 04 02.81,DZ+dM,6300.0,8.88,,,,,,,
2MASS J08593742+1252038,08 59 37.41,12 52 03.62,DB+K,,,,,,525.28,,,
2MASS J09060301+2759247,09 06 02.91,27 59 24.72,DC+M,,,,,,131.70,,,
