No.|Object Name|RA|DEC|Type|Velocity|Redshift|Redshift Flag|Magnitude and Filter|Separation|References|Notes|Photometry Points|Positions|Redshift Points|Diameter Points|Associations
1|WISEA J110000.35-000645.8|165.00141 |  -0.11290 |G| 21751| 0.072552 |SUN |19.2g|  0.000|2|0|36|6|2|4|0
2|WISEA J110000.82+094948.3|165.00343 |   9.83010 |G| 10799| 0.036021 |SLS |18.1g|  0.000|13|0|51|5|3|8|0
3|WISEA J110000.84+092147.2|165.00352 |   9.36312 |G| 18697| 0.062366 |SLS |17.76|  0.000|6|0|46|6|2|6|0
4|LCRS B105727.8-021911|165.00355 |  -2.58825 |G| 21225| 0.070800 |SUN |17.32|  0.000|3|0|24|6|2|0|0
5|WISEA J110000.95+085912.1|165.00400 |   8.98670 |G| 18499| 0.061706 |SLS |17.4g|  0.000|18|0|63|6|5|10|0
6|ABELL 1139:KYDISC 00017|165.00443 |   1.11231 |G| 11665| 0.038911 |SLS |15.7g|  0.000|39|0|68|20|18|10|0
7|ABELL 1139:KYDISC 00049|165.00453 |   1.62566 |G| 12781| 0.042632 |SLS |16.7g|  0.000|31|0|51|14|10|8|0
8|LCRS B105728.5-023929|165.00607 |  -2.92663 |G| 14160| 0.047233 |SUN |16.24|  0.000|4|0|33|8|4|2|0
9|WISEA J110001.53-070527.1|165.00648 |  -7.09123 |G| 18227| 0.060798 |PUN |17.26|  0.000|1|0|32|6|1|2|0
10|WISEA J110001.80+082428.1|165.00754 |   8.40781 |G| 23050| 0.076888 |PUN |17.96|  0.000|9|0|52|7|2|6|0
11|WISEA J110001.87+010545.6|165.00781 |   1.09600 |G| 11892| 0.039668 |SLS |17.7g|  0.000|15|0|62|9|5|8|0
12|ABELL 1139:KYDISC 00008|165.00793 |   1.77618 |G| 12067| 0.040250 |SLS |15.2g|  0.000|42|0|75|19|12|11|1
13|WISEA J110001.97-015737.4|165.00824 |  -1.96039 |G| 25264| 0.084272 |SUN |19.42|  0.000|1|0|18|4|2|0|0
14|LCRS B105729.2-024110|165.00883 |  -2.95452 |G| 11442| 0.038165 |SUN |15.83|  0.000|2|0|29|7|4|2|0
15|SDSS J110002.37+043345.3|165.00990 |   4.56261 |G| 27213| 0.090772 |SLS |18.5g|  0.000|5|0|35|3|3|8|2
16|GALEXASC J110002.49+000514.6  |165.01010 |   0.08720 |G| 24433| 0.081500 |SUN |19.26|  0.000|4|0|9|6|2|0|0
17|LCRS B105730.8-061112|165.01063 |  -6.45541 |G|  9338| 0.031148 |SLS |15.03|  0.000|3|0|37|8|3|2|0
18|LCRS B105730.8-054329|165.01135 |  -5.99360 |G|  9199| 0.030683 |SUN |17.94|  0.000|1|0|18|5|2|0|0
19|WISEA J110002.79+010219.4|165.01165 |   1.03874 |G| 11882| 0.039634 |SLS |18.1g|  0.000|11|0|56|8|5|8|0
20|WISEA J110003.06+082448.9|165.01279 |   8.41360 |G| 16189| 0.054000 |PUN |18.2g|  0.000|4|0|33|4|1|4|0
21|WISEA J110003.44+080956.7|165.01434 |   8.16575 |G| 11251| 0.037528 |SLS |17.7g|  0.000|12|0|41|6|2|4|0
